PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
l1_txswing,2,531 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=011,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l1_txswing,3,425 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=100,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l1_txswing,4,319 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=101,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l1_txswing,5,265 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=110,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l1_txswing,6,213 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=111,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,
l1_txswing,7,User Value,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,,
l2_txswing,0,850 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=000,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l2_txswing,1,637 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=010,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l2_txswing,2,531 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=011,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l2_txswing,3,425 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=100,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l2_txswing,4,319 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=101,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l2_txswing,5,265 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=110,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l2_txswing,6,213 mV,SERDES.L2_TX_ANA_TM_16.PIPE_TX_MARGIN=111,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,
l2_txswing,7,User Value,SERDES.L2_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,,
l3_txswing,0,850 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=000,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l3_txswing,1,637 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=010,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l3_txswing,2,531 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=011,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l3_txswing,3,425 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=100,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l3_txswing,4,319 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=101,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l3_txswing,5,265 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=110,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l3_txswing,6,213 mV,SERDES.L3_TX_ANA_TM_16.PIPE_TX_MARGIN=111,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,
l3_txswing,7,User Value,SERDES.L3_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,,
l0_txdeemph,0,0,SERDES.L0_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000000,SERDES.L0_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l0_txdeemph,1,3.5,SERDES.L0_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000001,SERDES.L0_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l0_txdeemph,2,6.0,SERDES.L0_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000010,SERDES.L0_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l0_txdeemph,3,User Value,SERDES.L0_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=0,,,,,,,,,,
l1_txdeemph,0,0,SERDES.L1_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000000,SERDES.L1_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l1_txdeemph,1,3.5,SERDES.L1_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000001,SERDES.L1_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l1_txdeemph,2,6.0,SERDES.L1_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000010,SERDES.L1_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l1_txdeemph,3,User Value,SERDES.L1_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=0,,,,,,,,,,
l2_txdeemph,0,0,SERDES.L2_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000000,SERDES.L2_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l2_txdeemph,1,3.5,SERDES.L2_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000001,SERDES.L2_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l2_txdeemph,2,6.0,SERDES.L2_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000010,SERDES.L2_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l2_txdeemph,3,User Value,SERDES.L2_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=0,,,,,,,,,,
l3_txdeemph,0,0,SERDES.L3_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000000,SERDES.L3_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l3_txdeemph,1,3.5,SERDES.L3_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000001,SERDES.L3_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l3_txdeemph,2,6.0,SERDES.L3_TX_ANA_TM_18.PIPE_TX_DEEMPH_7_0=00000010,SERDES.L3_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=1,,,,,,,,,
l3_txdeemph,3,User Value,SERDES.L3_TX_ANA_TM_118.FORCE_TX_DEEMPH_17_0=0,,,,,,,,,,
l0_rxeq,0,2,SERDES.L0_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L0_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L0_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l0_rxeq,1,4,SERDES.L0_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L0_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L0_TM_EQ0.EQ_ISOURCE_EN_VAL=010,,,,,
l0_rxeq,2,6,SERDES.L0_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L0_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L0_TM_EQ0.EQ_ISOURCE_EN_VAL=100,,,,,
l0_rxeq,3,8,SERDES.L0_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L0_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L0_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l0_rxeq,4,10,SERDES.L0_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L0_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L0_TM_EQ0.EQ_ISOURCE_EN_VAL=101,,,,,
l0_rxeq,5,User Value,SERDES.L0_TM_EQ0.EQ_ADAPTATION_FORCE=0,,,,,,,,,,
l1_rxeq,0,2,SERDES.L1_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L1_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L1_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l1_rxeq,1,4,SERDES.L1_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L1_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L1_TM_EQ0.EQ_ISOURCE_EN_VAL=010,,,,,
l1_rxeq,2,6,SERDES.L1_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L1_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L1_TM_EQ0.EQ_ISOURCE_EN_VAL=100,,,,,
l1_rxeq,3,8,SERDES.L1_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L1_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L1_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l1_rxeq,4,10,SERDES.L1_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L1_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L1_TM_EQ0.EQ_ISOURCE_EN_VAL=101,,,,,
l1_rxeq,5,User Value,SERDES.L1_TM_EQ0.EQ_ADAPTATION_FORCE=0,,,,,,,,,,
l2_rxeq,0,2,SERDES.L2_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L2_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L2_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l2_rxeq,1,4,SERDES.L2_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L2_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L2_TM_EQ0.EQ_ISOURCE_EN_VAL=010,,,,,
l2_rxeq,2,6,SERDES.L2_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L2_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L2_TM_EQ0.EQ_ISOURCE_EN_VAL=100,,,,,
l2_rxeq,3,8,SERDES.L2_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L2_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L2_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l2_rxeq,4,10,SERDES.L2_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L2_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L2_TM_EQ0.EQ_ISOURCE_EN_VAL=101,,,,,
l2_rxeq,5,User Value,SERDES.L2_TM_EQ0.EQ_ADAPTATION_FORCE=0,,,,,,,,,,
l3_rxeq,0,2,SERDES.L3_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L3_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L3_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l3_rxeq,1,4,SERDES.L3_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L3_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L3_TM_EQ0.EQ_ISOURCE_EN_VAL=010,,,,,
l3_rxeq,2,6,SERDES.L3_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L3_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=0,SERDES.L3_TM_EQ0.EQ_ISOURCE_EN_VAL=100,,,,,
l3_rxeq,3,8,SERDES.L3_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L3_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L3_TM_EQ0.EQ_ISOURCE_EN_VAL=000,,,,,
l3_rxeq,4,10,SERDES.L3_TM_EQ0.EQ_STG1_RL_PROG_MSB=0,SERDES.L3_TM_EQ0.EQ_STG1_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_STG2_CTRL_BYP=0,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE=1,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE_VAL=1,SERDES.L3_TM_EQ0.EQ_ISOURCE_EN_VAL=101,,,,,
l3_rxeq,5,User Value,SERDES.L3_TM_EQ0.EQ_ADAPTATION_FORCE=0,,,,,,,,,,
l0_txinv,0,0,SERDES.L0_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000001,,,,,,,,,,
l0_txinv,1,1,SERDES.L0_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000011,,,,,,,,,,
l1_txinv,0,0,SERDES.L1_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000001,,,,,,,,,,
l1_txinv,1,1,SERDES.L1_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000011,,,,,,,,,,
l2_txinv,0,0,SERDES.L2_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000001,,,,,,,,,,
l2_txinv,1,1,SERDES.L2_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000011,,,,,,,,,,
l3_txinv,0,0,SERDES.L3_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000001,,,,,,,,,,
l3_txinv,1,1,SERDES.L3_TX_ANA_TM_9.MPHY_TX_HS_SLEWRATE=00000011,,,,,,,,,,
l0_rxinv,0,0,SERDES.L0_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L0_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L0_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L0_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l0_rxinv,1,1,SERDES.L0_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L0_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L0_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L0_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L0_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l1_rxinv,0,0,SERDES.L1_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L1_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L1_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L1_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l1_rxinv,1,1,SERDES.L1_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L1_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L1_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L1_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L1_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l2_rxinv,0,0,SERDES.L2_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L2_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L2_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L2_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l2_rxinv,1,1,SERDES.L2_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L2_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L2_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L2_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L2_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l3_rxinv,0,0,SERDES.L3_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L3_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L3_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L3_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
l3_rxinv,1,1,SERDES.L3_TM_ANA_BYP_16.UPHY_PSO_SIGDET=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_PSO_SIGDET=0,SERDES.L3_TM_ANA_BYP_16.UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_RX_LANE_POLARITY_SWAP=1,SERDES.L3_TM_ANA_BYP_16.UPHY_RUN_CALIB=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_RUN_CALIB=0,SERDES.L3_TM_ANA_BYP_16.UPHY_RESTORE_CALCODE=0,SERDES.L3_TM_ANA_BYP_16.FORCE_UPHY_RESTORE_CALCODE=0,,,
