NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP,DESCRIPTION
DRP.CHAN_BOND_SEQ_2_3,1a,0,0,9,attr,rw,,,,
DRP.CHAN_BOND_SEQ_2_4,1b,0,0,9,attr,rw,,,,
DRP.CHAN_BOND_SEQ_2_ENABLE,1c,0,12,15,attr,rw,,,,
DRP.CHAN_BOND_SEQ_2_USE,1c,0,11,11,attr,rw,,,,
DRP.CLK_COR_KEEP_IDLE,1c,0,6,6,attr,rw,,,,
DRP.CLK_COR_MIN_LAT,1c,0,0,5,attr,rw,,,,
DRP.CLK_COR_MAX_LAT,1d,0,10,15,attr,rw,,,,
DRP.CLK_COR_PRECEDENCE,1d,0,9,9,attr,rw,,,,
DRP.CLK_COR_REPEAT_WAIT,1d,0,4,8,attr,rw,,,,
DRP.CLK_COR_SEQ_LEN,1d,0,2,3,attr,rw,,,,
DRP.CHAN_BOND_KEEP_ALIGN,1d,0,0,0,attr,rw,,,,
DRP.CLK_COR_SEQ_1_1,1e,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_1_2,1f,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_1_3,20,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_1_4,21,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_1_ENABLE,22,0,12,15,attr,rw,,,,
DRP.CLK_COR_SEQ_2_1,22,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_2_2,23,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_2_ENABLE,24,0,12,15,attr,rw,,,,
DRP.CLK_COR_SEQ_2_USE,24,0,11,11,attr,rw,,,,
DRP.CLK_CORRECT_USE,24,0,10,10,attr,rw,,,,
DRP.CLK_COR_SEQ_2_3,24,0,0,9,attr,rw,,,,
DRP.CLK_COR_SEQ_2_4,25,0,0,9,attr,rw,,,,
DRP.RXDFE_HE_CFG0,26,0,0,15,attr,rw,,,,
DRP.ALIGN_COMMA_WORD,27,0,13,15,attr,rw,,,,
DRP.ALIGN_COMMA_DOUBLE,27,0,12,12,attr,rw,,,,
DRP.SHOW_REALIGN_COMMA,27,0,11,11,attr,rw,,,,
DRP.ALIGN_COMMA_ENABLE,27,0,0,9,attr,rw,,,,
DRP.CPLL_FBDIV,28,0,8,15,attr,rw,,,,
DRP.CPLL_FBDIV_45,28,0,7,7,attr,rw,,,,
DRP.CPLL_LOCK_CFG,29,0,0,15,attr,rw,,,,
DRP.CPLL_REFCLK_DIV,2a,0,11,15,attr,rw,,,,
DRP.CPLL_IPS_EN,2a,0,10,10,attr,rw,,,,
DRP.CPLL_IPS_REFCLK_SEL,2a,0,7,9,attr,rw,,,,
DRP.SATA_CPLL_CFG,2a,0,5,6,attr,rw,,,,
DRP.A_TXDIFFCTRL,2a,0,0,4,attr,rw,,,,
DRP.CPLL_INIT_CFG0,2b,0,0,15,attr,rw,,,,
DRP.DEC_PCOMMA_DETECT,2c,0,15,15,attr,rw,,,,
DRP.TX_DIVRESET_TIME,2c,0,7,11,attr,rw,,,,
DRP.RX_DIVRESET_TIME,2c,0,2,6,attr,rw,,,,
DRP.A_TXPROGDIVRESET,2c,0,1,1,attr,rw,,,,
DRP.A_RXPROGDIVRESET,2c,0,0,0,attr,rw,,,,
DRP.RXCDR_LOCK_CFG1,2d,0,0,15,attr,rw,,,,
DRP.RXCFOK_CFG1,2e,0,0,15,attr,rw,,,,
DRP.RXDFE_H2_CFG0,2f,0,0,15,attr,rw,,,,
DRP.RXDFE_H2_CFG1,30,0,0,15,attr,rw,,,,
DRP.RXCFOK_CFG2,31,0,0,15,attr,rw,,,,
DRP.RXLPM_CFG,32,0,0,15,attr,rw,,,,
DRP.RXLPM_KH_CFG0,33,0,0,15,attr,rw,,,,
DRP.RXLPM_KH_CFG1,34,0,0,15,attr,rw,,,,
DRP.RXDFELPM_KL_CFG0,35,0,0,15,attr,rw,,,,
DRP.RXDFELPM_KL_CFG1,36,0,0,15,attr,rw,,,,
DRP.RXLPM_OS_CFG0,37,0,0,15,attr,rw,,,,
DRP.RXLPM_OS_CFG1,38,0,0,15,attr,rw,,,,
DRP.RXLPM_GC_CFG,39,0,0,15,attr,rw,,,,
DRP.DMONITOR_CFG1,3a,0,8,15,attr,rw,,,,
DRP.AEN_RXCDR,3a,0,7,7,attr_hidden,rw,,,,
DRP.AEN_CPLL,3a,0,6,6,attr_hidden,rw,,,,
DRP.AEN_RXDFE,3a,0,5,5,attr_hidden,rw,,,,
DRP.AEN_LOOPBACK,3a,0,4,4,attr_hidden,rw,,,,
DRP.AEN_RXDFELPM,3a,0,3,3,attr_hidden,rw,,,,
DRP.AEN_MASTER,3a,0,2,2,attr_hidden,rw,,,,
DRP.AEN_PD_AND_EIDLE,3a,0,1,1,attr_hidden,rw,,,,
DRP.AEN_POLARITY,3a,0,0,0,attr_hidden,rw,,,,
DRP.AEN_ELPCAL,3b,0,15,15,attr_hidden,rw,,,,
DRP.AEN_MUXDCD,3b,0,14,14,attr_hidden,rw,,,,
DRP.AEN_EYESCAN,3b,0,13,13,attr_hidden,rw,,,,
DRP.AEN_RXPLLCLK_SEL,3b,0,12,12,attr_hidden,rw,,,,
DRP.AEN_TXPLLCLK_SEL,3b,0,11,11,attr_hidden,rw,,,,
DRP.AEN_PRBS,3b,0,10,10,attr_hidden,rw,,,,
DRP.AEN_TXPI_PPM,3b,0,9,9,attr_hidden,rw,,,,
DRP.AEN_CDRSTEPSEL,3b,0,8,8,attr_hidden,rw,,,,
DRP.AEN_RXPHDLY,3b,0,7,7,attr_hidden,rw,,,,
DRP.AEN_RESET,3b,0,6,6,attr_hidden,rw,,,,
DRP.AEN_RXOUTCLK_SEL,3b,0,5,5,attr_hidden,rw,,,,
DRP.AEN_RXSYSCLK_SEL,3b,0,4,4,attr_hidden,rw,,,,
DRP.AEN_TXPHDLY,3b,0,3,3,attr_hidden,rw,,,,
DRP.AEN_TX_DRIVE_MODE,3b,0,2,2,attr_hidden,rw,,,,
DRP.AEN_TXOUTCLK_SEL,3b,0,1,1,attr_hidden,rw,,,,
DRP.AEN_TXSYSCLK_SEL,3b,0,0,0,attr_hidden,rw,,,,
DRP.ES_CONTROL,3c,0,10,15,attr,rw,,,,
DRP.ES_ERRDET_EN,3c,0,9,9,attr,rw,,,,
DRP.ES_EYE_SCAN_EN,3c,0,8,8,attr,rw,,,,
DRP.ES_PRESCALE,3c,0,0,4,attr,rw,,,,
DRP.RXDFE_HC_CFG0,3d,0,0,15,attr,rw,,,,
DRP.TX_PROGDIV_CFG,3e,0,0,15,attr,rw,,,,
DRP.ES_QUALIFIER0,3f,0,0,15,attr,rw,,,,
DRP.ES_QUALIFIER1,40,0,0,15,attr,rw,,,,
DRP.ES_QUALIFIER2,41,0,0,15,attr,rw,,,,
DRP.ES_QUALIFIER3,42,0,0,15,attr,rw,,,,
DRP.ES_QUALIFIER4,43,0,0,15,attr,rw,,,,
DRP.ES_QUAL_MASK0,44,0,0,15,attr,rw,,,,
DRP.ES_QUAL_MASK1,45,0,0,15,attr,rw,,,,
DRP.ES_QUAL_MASK2,46,0,0,15,attr,rw,,,,
DRP.ES_QUAL_MASK3,47,0,0,15,attr,rw,,,,
DRP.ES_QUAL_MASK4,48,0,0,15,attr,rw,,,,
DRP.ES_SDATA_MASK0,49,0,0,15,attr,rw,,,,
DRP.ES_SDATA_MASK1,4a,0,0,15,attr,rw,,,,
DRP.ES_SDATA_MASK2,4b,0,0,15,attr,rw,,,,
DRP.ES_SDATA_MASK3,4c,0,0,15,attr,rw,,,,
DRP.ES_SDATA_MASK4,4d,0,0,15,attr,rw,,,,
DRP.FTS_LANE_DESKEW_EN,4e,0,4,4,attr,rw,,,,
DRP.FTS_DESKEW_SEQ_ENABLE,4e,0,0,3,attr,rw,,,,
DRP.ES_HORZ_OFFSET,4f,0,4,15,attr,rw,,,,
DRP.FTS_LANE_DESKEW_CFG,4f,0,0,3,attr,rw,,,,
DRP.RXDFE_HC_CFG1,50,0,0,15,attr,rw,,,,
DRP.GEN_RXUSRCLK,51,0,15,15,attr_hidden,rw,,,,
DRP.GEN_TXUSRCLK,51,0,14,14,attr_hidden,rw,,,,
DRP.GT_INSTANTIATED,51,0,13,13,attr_hidden,rw,,,,
DRP.ES_PMA_CFG,51,0,0,9,attr,rw,,,,
DRP.RX_EN_HI_LR,52,0,10,10,attr,rw,,,,
DRP.RX_DFE_AGC_CFG1,52,0,2,4,attr,rw,,,,
DRP.RX_DFE_AGC_CFG0,52,0,0,1,attr,rw,,,,
DRP.RXDFE_CFG0,53,0,0,15,attr,rw,,,,
DRP.RXDFE_CFG1,54,0,0,15,attr,rw,,,,
DRP.LOCAL_MASTER,55,0,13,13,attr,rw,,,,
DRP.PCS_PCIE_EN,55,0,12,12,attr,rw,,,,
DRP.ALIGN_MCOMMA_DET,55,0,10,10,attr,rw,,,,
DRP.ALIGN_MCOMMA_VALUE,55,0,0,9,attr,rw,,,,
DRP.A_RXDFETAP6HOLD,56,0,15,15,attr_hidden,rw,,,,
DRP.A_RXDFETAP6OVRDEN,56,0,14,14,attr_hidden,rw,,,,
DRP.A_RXDFETAP7HOLD,56,0,13,13,attr_hidden,rw,,,,
DRP.A_RXDFETAP7OVRDEN,56,0,12,12,attr_hidden,rw,,,,
DRP.ALIGN_PCOMMA_DET,56,0,10,10,attr,rw,,,,
DRP.ALIGN_PCOMMA_VALUE,56,0,0,9,attr,rw,,,,
DRP.TXDLY_LCFG,57,0,0,15,attr,rw,,,,
DRP.RXDFE_OS_CFG0,58,0,0,15,attr,rw,,,,
DRP.RXPHDLY_CFG,59,0,0,15,attr,rw,,,,
DRP.RXDFE_OS_CFG1,5a,0,0,15,attr,rw,,,,
DRP.RXDLY_CFG,5b,0,0,15,attr,rw,,,,
DRP.RXDLY_LCFG,5c,0,0,15,attr,rw,,,,
DRP.RXDFE_HF_CFG0,5d,0,0,15,attr,rw,,,,
DRP.RXDFE_HD_CFG0,5e,0,0,15,attr,rw,,,,
DRP.RX_BIAS_CFG0,5f,0,0,15,attr,rw,,,,
DRP.PCS_RSVD0,60,0,0,15,attr,rw,,,,
DRP.RXPH_MONITOR_SEL,61,0,11,15,attr,rw,,,,
DRP.RX_CM_BUF_PD,61,0,10,10,attr,rw,,,,
DRP.RX_CM_BUF_CFG,61,0,6,9,attr,rw,,,,
DRP.RX_CM_TRIM,61,0,2,5,attr,rw,,,,
DRP.RX_CM_SEL,61,0,0,1,attr,rw,,,,
DRP.RX_SUM_DFETAPREP_EN,62,0,14,14,attr,rw,,,,
DRP.RX_SUM_VCM_OVWR,62,0,13,13,attr,rw,,,,
DRP.RX_SUM_IREF_TUNE,62,0,9,12,attr,rw,,,,
DRP.RX_SUM_VCMTUNE,62,0,3,6,attr,rw,,,,
DRP.RX_SUM_VREF_TUNE,62,0,0,2,attr,rw,,,,
DRP.CBCC_DATA_SOURCE_SEL,63,0,15,15,attr,rw,,,,
DRP.OOB_PWRUP,63,0,14,14,attr,rw,,,,
DRP.RXOOB_CFG,63,0,5,13,attr,rw,,,,
DRP.RXPLL_SEL,63,0,3,4,attr_hidden,rw,,,,
DRP.RXOUT_DIV,63,0,0,2,attr,rw,,,,
DRP.RX_SIG_VALID_DLY,64,0,11,15,attr,rw,,,,
DRP.RXSLIDE_MODE,64,0,9,10,attr,rw,,,,
DRP.RXPRBS_ERR_LOOPBACK,64,0,8,8,attr,rw,,,,
DRP.RXSLIDE_AUTO_WAIT,64,0,4,7,attr,rw,,,,
DRP.RXBUF_EN,64,0,3,3,attr,rw,,,,
DRP.RX_XCLK_SEL,64,0,1,2,attr,rw,,,,
DRP.RXGEARBOX_EN,64,0,0,0,attr,rw,,,,
DRP.RXBUF_THRESH_OVFLW,65,0,10,15,attr,rw,,,,
DRP.DMONITOR_CFG0,65,0,0,9,attr,rw,,,,
DRP.RXBUF_THRESH_OVRD,66,0,15,15,attr,rw,,,,
DRP.RXBUF_RESET_ON_COMMAALIGN,66,0,14,14,attr,rw,,,,
DRP.RXBUF_RESET_ON_RATE_CHANGE,66,0,13,13,attr,rw,,,,
DRP.RXBUF_RESET_ON_CB_CHANGE,66,0,12,12,attr,rw,,,,
DRP.RXBUF_THRESH_UNDFLW,66,0,6,11,attr,rw,,,,
DRP.RX_CLKMUX_EN,66,0,5,5,attr,rw,,,,
DRP.RX_DISPERR_SEQ_MATCH,66,0,4,4,attr,rw,,,,
DRP.RX_WIDEMODE_CDR,66,0,2,3,attr,rw,,,,
DRP.RX_INT_DATAWIDTH,66,0,0,1,attr,rw,,,,
DRP.RXBUF_EIDLE_HI_CNT,67,0,12,15,attr,rw,,,,
DRP.RXCDR_HOLD_DURING_EIDLE,67,0,11,11,attr,rw,,,,
DRP.RX_DFE_LPM_HOLD_DURING_EIDLE,67,0,10,10,attr,rw,,,,
DRP.RXBUF_EIDLE_LO_CNT,67,0,4,7,attr,rw,,,,
DRP.RXBUF_RESET_ON_EIDLE,67,0,3,3,attr,rw,,,,
DRP.RXCDR_FR_RESET_ON_EIDLE,67,0,2,2,attr,rw,,,,
DRP.RXCDR_PH_RESET_ON_EIDLE,67,0,1,1,attr,rw,,,,
DRP.RXBUF_ADDR_MODE,67,0,0,0,attr,rw,,,,
DRP.SATA_BURST_VAL,68,0,13,15,attr,rw,,,,
DRP.SATA_BURST_SEQ_LEN,68,0,4,7,attr,rw,,,,
DRP.SATA_EIDLE_VAL,68,0,0,2,attr,rw,,,,
DRP.SATA_MIN_BURST,69,0,10,15,attr,rw,,,,
DRP.SAS_MIN_COM,69,0,1,6,attr,rw,,,,
DRP.SATA_MIN_INIT,6a,0,10,15,attr,rw,,,,
DRP.SATA_MIN_WAKE,6a,0,1,6,attr,rw,,,,
DRP.SATA_MAX_BURST,6b,0,10,15,attr,rw,,,,
DRP.SAS_MAX_COM,6b,0,0,6,attr,rw,,,,
DRP.SATA_MAX_INIT,6c,0,10,15,attr,rw,,,,
DRP.SATA_MAX_WAKE,6c,0,1,6,attr,rw,,,,
DRP.RX_CLK25_DIV,6d,0,3,7,attr,rw,,,,
DRP.TXPHDLY_CFG0,6e,0,0,15,attr,rw,,,,
DRP.TXPHDLY_CFG1,6f,0,0,15,attr,rw,,,,
DRP.TXDLY_CFG,70,0,0,15,attr,rw,,,,
DRP.TXPH_MONITOR_SEL,71,0,2,6,attr,rw,,,,
DRP.TAPDLY_SET_TX,71,0,0,1,attr,rw,,,,
DRP.RXCDR_LOCK_CFG2,72,0,0,15,attr,rw,,,,
DRP.TXPH_CFG,73,0,0,15,attr,rw,,,,
DRP.TERM_RCAL_CFG,74,0,0,14,attr,rw,,,,
DRP.RXDFE_HF_CFG1,75,0,0,15,attr,rw,,,,
DRP.PD_TRANS_TIME_FROM_P2,76,0,4,15,attr,rw,,,,
DRP.TERM_RCAL_OVRD,76,0,1,3,attr,rw,,,,
DRP.PD_TRANS_TIME_NONE_P2,77,0,8,15,attr,rw,,,,
DRP.PD_TRANS_TIME_TO_P2,77,0,0,7,attr,rw,,,,
DRP.TRANS_TIME_RATE,78,0,8,15,attr,rw,,,,
DRP.TST_RSV0,79,0,8,15,attr,rw,,,,
DRP.TST_RSV1,79,0,0,7,attr,rw,,,,
DRP.TX_CLK25_DIV,7a,0,11,15,attr,rw,,,,
DRP.TX_XCLK_SEL,7a,0,10,10,attr,rw,,,,
DRP.TX_DATA_WIDTH,7a,0,0,3,attr,rw,,,,
DRP.TX_DEEMPH0,7b,0,10,15,attr,rw,,,,
DRP.TX_DEEMPH1,7b,0,2,7,attr,rw,,,,
DRP.TX_MAINCURSOR_SEL,7c,0,14,14,attr,rw,,,,
DRP.TXGEARBOX_EN,7c,0,13,13,attr,rw,,,,
DRP.TXOUT_DIV,7c,0,8,10,attr,rw,,,,
DRP.TXBUF_EN,7c,0,7,7,attr,rw,,,,
DRP.TXBUF_RESET_ON_RATE_CHANGE,7c,0,6,6,attr,rw,,,,
DRP.TX_RXDETECT_REF,7c,0,3,5,attr,rw,,,,
DRP.TXFIFO_ADDR_CFG,7c,0,2,2,attr,rw,,,,
DRP.TX_RXDETECT_CFG,7d,0,2,15,attr,rw,,,,
DRP.TX_CLKMUX_EN,7e,0,15,15,attr,rw,,,,
DRP.TX_LOOPBACK_DRIVE_HIZ,7e,0,14,14,attr,rw,,,,
DRP.TXOUTCLKPCS_SEL,7e,0,13,13,attr_hidden,rw,,,,
DRP.TX_DRIVE_MODE,7e,0,8,12,attr,rw,,,,
DRP.TX_EIDLE_ASSERT_DELAY,7e,0,5,7,attr,rw,,,,
DRP.TX_EIDLE_DEASSERT_DELAY,7e,0,2,4,attr,rw,,,,
DRP.TX_MARGIN_FULL_0,7f,0,9,15,attr,rw,,,,
DRP.TX_MARGIN_FULL_1,7f,0,1,7,attr,rw,,,,
DRP.TX_MARGIN_FULL_2,80,0,9,15,attr,rw,,,,
DRP.TX_MARGIN_FULL_3,80,0,1,7,attr,rw,,,,
DRP.TX_MARGIN_FULL_4,81,0,9,15,attr,rw,,,,
DRP.TX_MARGIN_LOW_0,81,0,1,7,attr,rw,,,,
DRP.TX_MARGIN_LOW_1,82,0,9,15,attr,rw,,,,
DRP.TX_MARGIN_LOW_2,82,0,1,7,attr,rw,,,,
DRP.TX_MARGIN_LOW_3,83,0,9,15,attr,rw,,,,
DRP.TX_MARGIN_LOW_4,83,0,1,7,attr,rw,,,,
DRP.RXDFE_HD_CFG1,84,0,0,15,attr,rw,,,,
DRP.TX_INT_DATAWIDTH,85,0,10,11,attr,rw,,,,
